Score,Sentiment,Text,Clean_Text
4,Positive,"I am a lover of coffee and will try almost any coffee product once. I own a coffee pod maker at work, and I have been using Senseo's medium roast and espresso pods for a few months, but after trying Marley Coffee, I do not think I can go back to Senseo. I am not demeaning Senseo's quality, but I am certainly highlighting my preference for Marley Coffee. I will admit that when it comes to pod coffee, I do not expect much, and that's probably why I have stuck to only one brand; Marley Coffee, however, went beyond my expectations. I like my coffee strong; therefore, I recommend one pours no more than 6 oz. per pod for a strong flavor (this is coming from a person who drinks `straight' coffee; I never add other ingredients or sweeteners)). On a side note, there was no particular exotic/fruity taste to this coffee, but the overall quality met my expectations and passed the ""will continue to buy"" test. Other perks: it's organic, natural, and tasty, which, in my book, is worth the price.",i am a lover of coffee and will try almost any coffee product once i own a coffee pod maker at work and i have been using senseos medium roast and espresso pods for a few months but after trying marley coffee i do not think i can go back to senseo i am not demeaning senseos quality but i am certainly highlighting my preference for marley coffee i will admit that when it comes to pod coffee i do not expect much and thats probably why i have stuck to only one brand marley coffee however went beyond my expectations i like my coffee strong therefore i recommend one pours no more than  oz per pod for a strong flavor this is coming from a person who drinks straight coffee i never add other ingredients or sweeteners on a side note there was no particular exoticfruity taste to this coffee but the overall quality met my expectations and passed the will continue to buy test other perks its organic natural and tasty which in my book is worth the price
5,Positive,In the UK this is one of the most popular chocolate bars.  It is a light honeycomb bar covered in Cadburys Milk Chocolate. If you like toffee and chocolate you will love these!,in the uk this is one of the most popular chocolate bars  it is a light honeycomb bar covered in cadburys milk chocolate if you like toffee and chocolate you will love these
5,Positive,My daughter bought a Keurig coffee maker for my husband for Christmas. His favorite coffee is Starbucks House Blend so when I found that I could get the K cups I decided to get several for him for Christmas. They arrived very quickly and were just as described. He has been enjoying his coffee so it must be good.,my daughter bought a keurig coffee maker for my husband for christmas his favorite coffee is starbucks house blend so when i found that i could get the k cups i decided to get several for him for christmas they arrived very quickly and were just as described he has been enjoying his coffee so it must be good
4,Positive,Comparable flavor to Starbucks and cost much less. I don't know why anyone would buy a 12 pack. All flavors are good as well.,comparable flavor to starbucks and cost much less i dont know why anyone would buy a  pack all flavors are good as well
1,Negative,"Simply awful.  This product should be taken off the market immediately.  They did absolutely nothing for my 2-yr old dog's teeth.  I gave him about 4 per week until he almost choked to death on about the 10th one.  Awful, dangerous product, simple as that.",simply awful  this product should be taken off the market immediately  they did absolutely nothing for my yr old dogs teeth  i gave him about  per week until he almost choked to death on about the th one  awful dangerous product simple as that
5,Positive,"I would give it.  This hot sauce is the best hot sauce that has ever been made with human hands.  To compare this to Tabasco is an utter mockery, but that is the most common ""hot sauce"" that most Americans have experienced, so that is the one that I will compare it to.  Anyone that would try to genuinely compare the two should have a CAT scan done.  A 7 out of 10 as far as hotness, Tapatio can go on anything that you need to make spicy and tasty.  Try putting a couple of squirts of this Mexican nectar in a bag of Doritos and you WILL NOT be able to put them down.  Buy the 32 oz. size, you will not regret it!",i would give it  this hot sauce is the best hot sauce that has ever been made with human hands  to compare this to tabasco is an utter mockery but that is the most common hot sauce that most americans have experienced so that is the one that i will compare it to  anyone that would try to genuinely compare the two should have a cat scan done  a  out of  as far as hotness tapatio can go on anything that you need to make spicy and tasty  try putting a couple of squirts of this mexican nectar in a bag of doritos and you will not be able to put them down  buy the  oz size you will not regret it
5,Positive,"Luckily this is available locally so I got to try it without ordering a whole case. I find it absolutely delicious. So far it got used to make a black rice with dried cranberry dish, very simple. Tomorrow a pumpkin curry soup, then I think a chicken curry the next day. I'm looking into making my own coconut milk so I don't have to worry about using a whole can before it goes bad, but meanwhile I am delighted with this brand in both taste and consistency.<br /><br />AND let me not forget to praise the manufacturer for resisting the temptation to add those poisons people think are preservatives (particularly sodium metabisulfite). I'd rather there were no guar gum, frankly, but was unable to find any without that at local supermarkets.",luckily this is available locally so i got to try it without ordering a whole case i find it absolutely delicious so far it got used to make a black rice with dried cranberry dish very simple tomorrow a pumpkin curry soup then i think a chicken curry the next day im looking into making my own coconut milk so i dont have to worry about using a whole can before it goes bad but meanwhile i am delighted with this brand in both taste and consistency  and let me not forget to praise the manufacturer for resisting the temptation to add those poisons people think are preservatives particularly sodium metabisulfite id rather there were no guar gum frankly but was unable to find any without that at local supermarkets
5,Positive,"This oatmeal is great.  I eat it almost every morning.  The brands in the stores I was buying had changed the texture and I did not like them anymore.  I coould not find an oatmeal I liked so I stopped eating oatmeal..... until I found out about McCann's. The cost is the same as in the store and with free shipping from Amazon, I don't lose out at all.",this oatmeal is great  i eat it almost every morning  the brands in the stores i was buying had changed the texture and i did not like them anymore  i coould not find an oatmeal i liked so i stopped eating oatmeal until i found out about mccanns the cost is the same as in the store and with free shipping from amazon i dont lose out at all
5,Positive,Satin Ice is the best tasting fondant I can find on the market.  It's a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant.,satin ice is the best tasting fondant i can find on the market  its a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant
5,Positive,I bought this for my 73 year old dad he had seen it on a commercial and thought it looked like good stuff..he is very pleased with it,i bought this for my  year old dad he had seen it on a commercial and thought it looked like good stuffhe is very pleased with it
4,Positive,"I never saw this gift basket myself nor tried any goodies from it. I bought it to say ""Thank you"" to my business associate.<br />The recipient liked it, so I think I will purchase it again in the future. It is priced fairly and it is a nice way to express your gratitude.",i never saw this gift basket myself nor tried any goodies from it i bought it to say thank you to my business associate the recipient liked it so i think i will purchase it again in the future it is priced fairly and it is a nice way to express your gratitude
5,Positive,Unbeatable little tool for making shredded green papaya salad.  I use it to shred many different not-so-ripe fruits and veggies besides papaya. Better than the typical cheese grater for shredding because it doesn't bruise the fruit/veggie. I highly recommend this tool.,unbeatable little tool for making shredded green papaya salad  i use it to shred many different notsoripe fruits and veggies besides papaya better than the typical cheese grater for shredding because it doesnt bruise the fruitveggie i highly recommend this tool
1,Negative,"It sure would be nice if they stated ANYWHERE in the description of this coffee that it is flavored.  I love the Bed and Breakfast coffee, it's just plain coffee, so I was surprised when I received the Jamaica coffee and it was flavored.  YUCK!",it sure would be nice if they stated anywhere in the description of this coffee that it is flavored  i love the bed and breakfast coffee its just plain coffee so i was surprised when i received the jamaica coffee and it was flavored  yuck
5,Positive,I had a salad in a restaurant for lunch and went crazy over the  roasted raspberry chipotle vinaigrette dressing. I decided  to recreate the salad myself at home. The salad dressing I found in my search on the internet was the Fischer & Wieser  Roasted Raspberry chipotle vinaigrette dressing. It is absolutely fabulous! I have made the salad  many times and for friends and have had to order extra bottles since I got them hooked on it too. This salad dressing will not disappoint and  deserves a five star review!,i had a salad in a restaurant for lunch and went crazy over the  roasted raspberry chipotle vinaigrette dressing i decided  to recreate the salad myself at home the salad dressing i found in my search on the internet was the fischer  wieser  roasted raspberry chipotle vinaigrette dressing it is absolutely fabulous i have made the salad  many times and for friends and have had to order extra bottles since i got them hooked on it too this salad dressing will not disappoint and  deserves a five star review
5,Positive,I was so happy to see this deal. I recently have been using alot of pumpkin. I was so excited to see an organic product that I could actually afford! I look forward to using it in many recipies.,i was so happy to see this deal i recently have been using alot of pumpkin i was so excited to see an organic product that i could actually afford i look forward to using it in many recipies
5,Positive,"Very hot, but smooth, great consistancy, for use with most Korean cusine. Just a dab will do, you don't want too much. This items is tasty, but extremely hot. Great side with most Korean dishes",very hot but smooth great consistancy for use with most korean cusine just a dab will do you dont want too much this items is tasty but extremely hot great side with most korean dishes
4,Positive,"Okay, I jumped the gun, because they were sending me the review information, before I received my chips, so I thought I would be honest, and indicate that I have not received them, and I wasn't happy about not receiving them. However overall, the service is not bad, and my chips are on the way.Sorry guys, they really are not bad people, I am just an impatient buyer... there, is that better?",okay i jumped the gun because they were sending me the review information before i received my chips so i thought i would be honest and indicate that i have not received them and i wasnt happy about not receiving them however overall the service is not bad and my chips are on the waysorry guys they really are not bad people i am just an impatient buyer there is that better
1,Negative,"Disappointingly, this is IMITATION Almond Extract and a terrible value.  The $0.65/oz price is also quite deceiving and misleading.  That fact that this is an imitation product was not made clear in the description.  I bought this only because I needed a filler item to reach my free shipping, but will not make that mistake again.<br /><br />Comparatively, [...] currently is selling top quality 100% Pure Almond Extract for only $6.69/4 oz.  Lesson learned... the hard way.",disappointingly this is imitation almond extract and a terrible value  the oz price is also quite deceiving and misleading  that fact that this is an imitation product was not made clear in the description  i bought this only because i needed a filler item to reach my free shipping but will not make that mistake again  comparatively  currently is selling top quality  pure almond extract for only  oz  lesson learned the hard way
5,Positive,"I've tried several brands and flavors of ground coffee from Amazon, and this is by far the.best.coffee.I've.had. I decided to write a review because last weekend my husband made me a latte, and it was yummy. I asked for a second one, and what he gave me was not what I had the first time. I asked him what was different, and he told me he used a different brand and flavor. He was really surprised that I could tell. The one that I LOVED was the Lavazza Crema e Gusto. Wow. What a difference. It's smooth and full bodied - okay, I'm full of crap. I have no idea what ""full bodied"" is other than a fat chick. But I can tell you this -- this coffee is tasty and you will not regret buying it.<br /><br />I bought it in January because there was a deal going on - $12 for 4 bricks. But here I am willing to pay $15 for 4 bricks (S&S price) less than 2 months later. I wish I had stocked up when it was cheaper, but who knew the coffee was going to be THAT GOOD! It's so worth even $18 for 4 bricks!",ive tried several brands and flavors of ground coffee from amazon and this is by far thebestcoffeeivehad i decided to write a review because last weekend my husband made me a latte and it was yummy i asked for a second one and what he gave me was not what i had the first time i asked him what was different and he told me he used a different brand and flavor he was really surprised that i could tell the one that i loved was the lavazza crema e gusto wow what a difference its smooth and full bodied  okay im full of crap i have no idea what full bodied is other than a fat chick but i can tell you this  this coffee is tasty and you will not regret buying it  i bought it in january because there was a deal going on   for  bricks but here i am willing to pay  for  bricks ss price less than  months later i wish i had stocked up when it was cheaper but who knew the coffee was going to be that good its so worth even  for  bricks
4,Positive,"My dog is relatively picky when it comes to treats, but she loves these. They don't do much to help her doggy breath, but maybe over time they will help.",my dog is relatively picky when it comes to treats but she loves these they dont do much to help her doggy breath but maybe over time they will help
1,Negative,"I bought this item for my dog to play with. She was smart and can get out all the food in it. Initially I like it since it was entertaining for my dog. However, my dog quickly chewed open the rope - only the 3 time I used it.<br /><br />I think there is a problem with the design - it will be great if the rope can be replaced with some better material so it does not get chewed immediately.<br /><br />I asked some dog friends and they pointed out the same problemm. I would not recommend this item for dogs who chew. Well, most dogs chew, so...There are many other interactive toys that you can try.",i bought this item for my dog to play with she was smart and can get out all the food in it initially i like it since it was entertaining for my dog however my dog quickly chewed open the rope  only the  time i used it  i think there is a problem with the design  it will be great if the rope can be replaced with some better material so it does not get chewed immediately  i asked some dog friends and they pointed out the same problemm i would not recommend this item for dogs who chew well most dogs chew sothere are many other interactive toys that you can try
5,Positive,"This tea has a nice mellow taste.  It is not at all dusty and doesn't leave a bitter taste in your mouth, as is common with a lot of teas.  Will definately buy more in the future. The box is very nice and I would feel comfortable giving this as a gift.",this tea has a nice mellow taste  it is not at all dusty and doesnt leave a bitter taste in your mouth as is common with a lot of teas  will definately buy more in the future the box is very nice and i would feel comfortable giving this as a gift
5,Positive,"This is THE best red curry, don't waste your time on the cheap imitators.  Mix with cocunut milk and real palm sugar + chicken and veggies and you will amaze your friend and families.  This is great red curry paste!",this is the best red curry dont waste your time on the cheap imitators  mix with cocunut milk and real palm sugar  chicken and veggies and you will amaze your friend and families  this is great red curry paste
4,Positive,"I'd received a sample of Stash's English Breakfast Decaf with a previous order from Stash's website, and I knew it was good (for decaf tea, which is always missing something -- I think it's the caffeine.)  The price on this multipack was so good, that I could give a couple boxes away (which I did, cause I can't go through that much decaf tea in a year) and still save money over buying it in the supermarket.",id received a sample of stashs english breakfast decaf with a previous order from stashs website and i knew it was good for decaf tea which is always missing something  i think its the caffeine  the price on this multipack was so good that i could give a couple boxes away which i did cause i cant go through that much decaf tea in a year and still save money over buying it in the supermarket
5,Positive,"I can't think of anything bad to say about this coffee. Every guest we have had enjoys it. I'm not much of a hazelnut person, but it tastes pretty good to me.",i cant think of anything bad to say about this coffee every guest we have had enjoys it im not much of a hazelnut person but it tastes pretty good to me
3,Neutral,"I ordered these when I found out the Morningstar Farms veggie dogs are no longer available.  After reading about 100 reviews, I decided to try this variety.  We have been vegetarian for 12 years, so I am used to the faux meats.  Some I like, some I don't.  I LOVED Morningstar Veggie dogs, they were my absolute favorite.  Most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them!  These Veja-dogs are OK on taste, but I do not like the texture.  It is A LOT like that of a hard boiled egg white.  When I first got one out of the can I did not want to even try one.  It was squishy and had tiny dark brown spots.  The syrupy stuff they are stored in really grossed me out too.  I have eaten about 5 now and am still not crazy about them.  My son however LOVES them.  He says they are his favorite.  I will try another Worthington veggie dog (Super Links or linkettes) before giving up on the ""canned"" dogs all together.  I hate onions, but I prefer the texture of the tofu dogs found in the grocery store.",i ordered these when i found out the morningstar farms veggie dogs are no longer available  after reading about  reviews i decided to try this variety  we have been vegetarian for  years so i am used to the faux meats  some i like some i dont  i loved morningstar veggie dogs they were my absolute favorite  most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them  these vejadogs are ok on taste but i do not like the texture  it is a lot like that of a hard boiled egg white  when i first got one out of the can i did not want to even try one  it was squishy and had tiny dark brown spots  the syrupy stuff they are stored in really grossed me out too  i have eaten about  now and am still not crazy about them  my son however loves them  he says they are his favorite  i will try another worthington veggie dog super links or linkettes before giving up on the canned dogs all together  i hate onions but i prefer the texture of the tofu dogs found in the grocery store
3,Neutral,"Edit: I've given this three stars vs my previous 1 star when I was told the can was not meant to brew tea in. I still would  prefer a ""total travel solution"", then it would have been 5 stars.<br /><br />Original Post: The can to brew the tea leaks. I sent the first one back thinking maybe it was defective. The second one leaked also. And, the can gets super hot, to the point of not being able to pick it up.  I also posted this review on the Teavana website, it has not been posted....just an FYI about neg reviews sent to them.",edit ive given this three stars vs my previous  star when i was told the can was not meant to brew tea in i still would  prefer a total travel solution then it would have been  stars  original post the can to brew the tea leaks i sent the first one back thinking maybe it was defective the second one leaked also and the can gets super hot to the point of not being able to pick it up  i also posted this review on the teavana website it has not been postedjust an fyi about neg reviews sent to them
5,Positive,"Lucy's Cinnamon Thins are crispy, yummy and entirely too tempting! They taste like snickerdoodles,and I can't quit eating them!",lucys cinnamon thins are crispy yummy and entirely too tempting they taste like snickerdoodlesand i cant quit eating them
5,Positive,"After a lot of research, i decided to switch my 3-yr old Doberman from Iams to Canidae and have been very impressed with the product. Samson LOVES this stuff too, with the Iams I had to entice him to eat by mixing it with canned food/tablefood, but with the Canidae, he eagerly wolfs it down by itself. And why not? The first 4 ingredients are all meats- human-grade at that! Besides having less ""filler"", Canidae uses no corn products, which is good for dogs with allergies (corn is a common allergen in dogs). Some may balk at the price, but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff. Besides, Canidae is considerably cheaper then most of the other top-shelf brands like Eagle Pack or Flint River. I'm just happy to be able to feed my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like Iams or Pro Plan. When you look at it like that, I believe it's one of the best values in pet nutrition on the market today.",after a lot of research i decided to switch my yr old doberman from iams to canidae and have been very impressed with the product samson loves this stuff too with the iams i had to entice him to eat by mixing it with canned foodtablefood but with the canidae he eagerly wolfs it down by itself and why not the first  ingredients are all meats humangrade at that besides having less filler canidae uses no corn products which is good for dogs with allergies corn is a common allergen in dogs some may balk at the price but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff besides canidae is considerably cheaper then most of the other topshelf brands like eagle pack or flint river im just happy to be able to feed my dog a superpremium grade food knowing how much healthier this is for him for just a few bucks more per bag then a midgrade food like iams or pro plan when you look at it like that i believe its one of the best values in pet nutrition on the market today
5,Positive,"I bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread.  It is absolutely delicious and very healthy.  It's more like a jelly but I am willing to compromise given the nutritional value.  Real apple butter is higher in everything ... calories, fat, sugars, etc.  My next purchase will be a case of it!",i bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread  it is absolutely delicious and very healthy  its more like a jelly but i am willing to compromise given the nutritional value  real apple butter is higher in everything  calories fat sugars etc  my next purchase will be a case of it
5,Positive,"My cat loves this stuff! The nutrition is fair and it has alot of juice in the packet. It is a mixture of chunks of meat along with some shreads. It looks like real shreds of chicken. The sale price here at Amazon was awesome - less than half the price at my local stores for a whole case.<br /><br />I never have any trouble getting all of the food out of the pouch - it all slides right out. This particular flavor though for whatever reason does have a bit more product in the pouch and to make things easier when opening, I usually just cut the top off (to avoid any messes while tearing open) or, I tear from one side half way and then from the other side the rest of the way and the entire top comes off then. If there are any dribbles then, it is just a tiny bit on the side of the pouch and not on my hands at all and I do not get splattered with it. For some reason, the top usually never tears cleanly the whole way across if you try to tear it from one side only and it can be a little messy if you're in a hurry. It is not like it makes a huge mess though anyway, just a few drips here and there maybe. Cutting the top off instead of tearing it solves that though.<br /><br />The other Whiskas pouches that I like to use are the Choice Cuts varieties. They have nice big chunks in them instead of a bunch of mush or all shreds. My cat likes the chunkier ones better.",my cat loves this stuff the nutrition is fair and it has alot of juice in the packet it is a mixture of chunks of meat along with some shreads it looks like real shreds of chicken the sale price here at amazon was awesome  less than half the price at my local stores for a whole case  i never have any trouble getting all of the food out of the pouch  it all slides right out this particular flavor though for whatever reason does have a bit more product in the pouch and to make things easier when opening i usually just cut the top off to avoid any messes while tearing open or i tear from one side half way and then from the other side the rest of the way and the entire top comes off then if there are any dribbles then it is just a tiny bit on the side of the pouch and not on my hands at all and i do not get splattered with it for some reason the top usually never tears cleanly the whole way across if you try to tear it from one side only and it can be a little messy if youre in a hurry it is not like it makes a huge mess though anyway just a few drips here and there maybe cutting the top off instead of tearing it solves that though  the other whiskas pouches that i like to use are the choice cuts varieties they have nice big chunks in them instead of a bunch of mush or all shreds my cat likes the chunkier ones better
5,Positive,"I'm not generally a fan of hot sauces.  However, when I initially came across this in a diner I gave it a sniff, and it smelled promising.  It was quite good with my steak that morning.  Now that I have it at home, I will admit it's a touch salty, but the flavor is quite savory in comparison to your run-of-the-mill hot sauces.",im not generally a fan of hot sauces  however when i initially came across this in a diner i gave it a sniff and it smelled promising  it was quite good with my steak that morning  now that i have it at home i will admit its a touch salty but the flavor is quite savory in comparison to your runofthemill hot sauces
5,Positive,"I recently bought some of this at a local market.  I decided to try it because for quite some time now I have purchased Morton's Light Salt to cut down on the some of the sodium I take in.  This Diamond Crystal blend is not only cheaper than the Morton's for a generous amount more, but it also taste better in my opinion.  Like the Morton's, it contains a full one third less sodium.  But where the Morton's uses the popular substitute Potassium Chloride that has a slight metallic taste to it, the main substitute ingredient in this Diamond Chrystal blend is Silicon Dioxide, which to me has a much more natural salt taste.  I prefer it over the potassium chloride, and as already mentioned, you get more for your money with this blend making it a sure deal. It took me no time at all to get used to it, and I use it in my cooking as well as in the shaker as well.  If you have trouble finding it locally, I suggest you pick it up by the case here on Amazon and you will be set for a year or more.  A real good salt substitute, (that does contain real salt as well) that I recommend...",i recently bought some of this at a local market  i decided to try it because for quite some time now i have purchased mortons light salt to cut down on the some of the sodium i take in  this diamond crystal blend is not only cheaper than the mortons for a generous amount more but it also taste better in my opinion  like the mortons it contains a full one third less sodium  but where the mortons uses the popular substitute potassium chloride that has a slight metallic taste to it the main substitute ingredient in this diamond chrystal blend is silicon dioxide which to me has a much more natural salt taste  i prefer it over the potassium chloride and as already mentioned you get more for your money with this blend making it a sure deal it took me no time at all to get used to it and i use it in my cooking as well as in the shaker as well  if you have trouble finding it locally i suggest you pick it up by the case here on amazon and you will be set for a year or more  a real good salt substitute that does contain real salt as well that i recommend
5,Positive,"If you're looking for a yummy treat for your cat, try these.  After trying both the chicken and salmon flavors, my cats greatly preferred the chicken.  In fact, they love them.  These treats are 100% white-meat chicken, so you'll be giving your cat a truly healthy treat instead of one that's loaded with carbs and fat.  I will definitely buy these again.",if youre looking for a yummy treat for your cat try these  after trying both the chicken and salmon flavors my cats greatly preferred the chicken  in fact they love them  these treats are  whitemeat chicken so youll be giving your cat a truly healthy treat instead of one thats loaded with carbs and fat  i will definitely buy these again
5,Positive,This is my favorite tea.  It has that lovely flavor and aroma of Ceylon tea.  I drink way too many cups of it each day!  I only wish they had a decaf version.,this is my favorite tea  it has that lovely flavor and aroma of ceylon tea  i drink way too many cups of it each day  i only wish they had a decaf version
